,,SKU-DON Industries Ltd.,,,,,,,Page  1
,,,,,,,,,
#,Producto,Cliente,Column1,Año,Período,Ingresos,Costos,Margin,Percent
1,"Lobster - Baby, Boiled","Stanton, Predovic and Larson",,2022,2,16,4,,
2,Tea - Herbal Orange Spice,"Stanton, Predovic and Larson",,,,,,,
3,Cookies - Assorted,"Stanton, Predovic and Larson",,,,,,,
4,Cookies - Assorted,"Stanton, Predovic and Larson",,2022,5,0,-7.29,,
5,Juice - V8 Splash,"Stanton, Predovic and Larson",,,,,,,
6,Raspberries - Frozen,"Stanton, Predovic and Larson",,,,,,,
7,,,Customer Total:,,,16,,,
8,White (Bianco)Truffle Oil 250 ml,"Stanton, Predovic and Larson",,,,,,,
9,White (Bianco)Truffle Oil 250 ml,"Predovic, Pollich and Gislason",,,,,,,
10,"Butter - Salted, Micro","Predovic, Pollich and Gislason",,,,,,,
11,"Butter - Salted, Micro","Predovic, Pollich and Gislason",,2022,1,1980,-1112.11,,
12,Fresh Chanterelle 1lb,"Predovic, Pollich and Gislason",,,,,,,
13,Fresh Chanterelle 1lb,"Predovic, Pollich and Gislason",,,,,,,
14,"Flour - Corn, Fine","Predovic, Pollich and Gislason",,,,,,,
15,"Flour - Corn, Fine","Predovic, Pollich and Gislason",,2022,1,3675,6316.24,,
16,Fresh Matsutake 1kg,"Predovic, Pollich and Gislason",,,,,,,
17,Fresh Matsutake 1kg,"Predovic, Pollich and Gislason",,,,,,,
18,Sprouts - Onion,"Predovic, Pollich and Gislason",,,,,,,
19,Sprouts - Onion,"Predovic, Pollich and Gislason",,2022,2,0,0,,
20,Dried Morel (#1) 1kg,"Predovic, Pollich and Gislason",,,,,,,
21,Dried Morel (#1) 1kg,"Predovic, Pollich and Gislason",,,,,,,
22,Dried Morel (#1) 1kg,"Predovic, Pollich and Gislason",,,,,,,
23,,,Customer Total:,,,5655,,,
24,Dried Morel (#1) 1kg,"Predovic, Pollich and Gislason",,,,,,,
25,Dried Morel (#1) 1kg,"Willms, Predovic and Rippin",,,,,,,
26,Octopus,"Willms, Predovic and Rippin",,,,,,,
27,Octopus,"Willms, Predovic and Rippin",,2022,1,37,4.11,,
28,Veal - Ground,"Willms, Predovic and Rippin",,,,,,,
29,Veal - Ground,"Willms, Predovic and Rippin",,,,,,,
30,Veal - Ground,"Willms, Predovic and Rippin",,2022,2,22.5,6.03,,
31,Veal - Ground,"Willms, Predovic and Rippin",,,,,,,
32,Veal - Ground,"Willms, Predovic and Rippin",,2022,4,45,11.52,,
33,Veal - Ground,"Willms, Predovic and Rippin",,2022,5,67.5,17.49,,
34,Veal - Ground,"Willms, Predovic and Rippin",,2022,6,22.5,5.91,,
35,Tomatoes - Heirloom,"Willms, Predovic and Rippin",,,,,,,
36,Tomatoes - Heirloom,"Willms, Predovic and Rippin",,2022,1,36.9,8.47,,
37,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,,,,,,
38,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,,,,,,
39,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,2022,2,112,35.52,,
40,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,,,,,,
41,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,2022,3,42,13.19,,
42,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,2022,4,42,13.17,,
43,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,2022,5,28,15.84,,
44,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",,2022,6,14,4.35,,
45,"Soup - Campbells, Creamy","Willms, Predovic and Rippin",,,,,,,
46,"Soup - Campbells, Creamy","Willms, Predovic and Rippin",,2022,1,16,4.99,,
47,"Juice - V8, Tomato","Willms, Predovic and Rippin",,,,,,,
48,"Juice - V8, Tomato","Willms, Predovic and Rippin",,,,,,,
49,"Juice - V8, Tomato","Willms, Predovic and Rippin",,2022,2,77,33,,
50,"Juice - V8, Tomato","Willms, Predovic and Rippin",,,,,,,
51,"Juice - V8, Tomato","Willms, Predovic and Rippin",,2022,4,19.25,8.25,,
52,Kippers - Smoked,"Willms, Predovic and Rippin",,,,,,,
53,Kippers - Smoked,"Willms, Predovic and Rippin",,2022,1,746.5,146,,
